gene_symbol,ensg_id,gene_type,gene_length,ensp_id,protein_length
DBNDD1,ENSG00000003249,protein_coding,4462,ENSP00000306407,178
ALS2,ENSG00000003393,protein_coding,33513,ENSP00000505954,1691
CASP10,ENSG00000003400,protein_coding,8920,ENSP00000286186,522
CFLAR,ENSG00000003402,protein_coding,22478,ENSP00000312455,480
TFPI,ENSG00000003436,protein_coding,11714,ENSP00000233156,304
NDUFAF7,ENSG00000003509,protein_coding,3651,ENSP00000002125,441
RBM5,ENSG00000003756,protein_coding,10357,ENSP00000343054,815
MTMR7,ENSG00000003987,protein_coding,6928,ENSP00000180173,660
SLC7A2,ENSG00000003989,protein_coding,7905,ENSP00000004531,698
ARF5,ENSG00000004059,protein_coding,1825,ENSP00000000233,180
SARM1,ENSG00000004139,protein_coding,11105,ENSP00000468032,724
POLDIP2,ENSG00000004142,protein_coding,2670,ENSP00000475924,368
PLXND1,ENSG00000004399,protein_coding,9557,ENSP00000317128,1925
AK2,ENSG00000004455,protein_coding,17967,ENSP00000499935,239
CD38,ENSG00000004468,protein_coding,6857,ENSP00000226279,300
FKBP4,ENSG00000004478,protein_coding,5163,ENSP00000001008,459
KDM1A,ENSG00000004487,protein_coding,18325,ENSP00000509257,878
RBM6,ENSG00000004534,protein_coding,7299,ENSP00000266022,1123
CAMKK1,ENSG00000004660,protein_coding,7433,ENSP00000371188,532
RECQL,ENSG00000004700,protein_coding,3779,ENSP00000395449,649
VPS50,ENSG00000004766,protein_coding,9559,ENSP00000307666,964
HSPB6,ENSG00000004776,protein_coding,1724,ENSP00000004982,160
ARHGAP33,ENSG00000004777,protein_coding,5260,ENSP00000007510,1287
NDUFAB1,ENSG00000004779,protein_coding,1548,ENSP00000007516,156
PDK4,ENSG00000004799,protein_coding,4544,ENSP00000005178,411
SLC22A16,ENSG00000004809,protein_coding,3907,ENSP00000357915,577
ZMYND10,ENSG00000004838,protein_coding,2889,ENSP00000231749,440
ABCB5,ENSG00000004846,protein_coding,8796,ENSP00000384881,1257
ARX,ENSG00000004848,protein_coding,3114,ENSP00000368332,562
SLC25A13,ENSG00000004864,protein_coding,3710,ENSP00000400101,676
ST7,ENSG00000004866,protein_coding,6526,ENSP00000265437,585
CDC27,ENSG00000004897,protein_coding,6824,ENSP00000434614,830
SLC4A1,ENSG00000004939,protein_coding,5125,ENSP00000262418,911
CALCR,ENSG00000004948,protein_coding,4222,ENSP00000497687,490
HCCS,ENSG00000004961,protein_coding,2343,ENSP00000326579,268
DVL2,ENSG00000004975,protein_coding,5321,ENSP00000005340,736
PRSS22,ENSG00000005001,protein_coding,2480,ENSP00000161006,317
UPF1,ENSG00000005007,protein_coding,8934,ENSP00000470142,1129
SKAP2,ENSG00000005020,protein_coding,5361,ENSP00000005587,359
SLC25A5,ENSG00000005022,protein_coding,1555,ENSP00000360671,298
MCUB,ENSG00000005059,protein_coding,3555,ENSP00000378145,336
HOXA11,ENSG00000005073,protein_coding,2669,ENSP00000006015,313
POLR2J,ENSG00000005075,protein_coding,937,ENSP00000292614,117
DHX33,ENSG00000005100,protein_coding,5789,ENSP00000225296,707
MEOX1,ENSG00000005102,protein_coding,2674,ENSP00000321684,254
THSD7A,ENSG00000005108,protein_coding,10915,ENSP00000406482,1657
LIG3,ENSG00000005156,protein_coding,12901,ENSP00000367787,1009
RPAP3,ENSG00000005175,protein_coding,5350,ENSP00000005386,665
ACSM3,ENSG00000005187,protein_coding,7510,ENSP00000289416,586
REXO5,ENSG00000005189,protein_coding,4111,ENSP00000261377,774
CIAPIN1,ENSG00000005194,protein_coding,3383,ENSP00000377914,312
SPPL2B,ENSG00000005206,protein_coding,7419,ENSP00000478298,592
FAM214B,ENSG00000005238,protein_coding,6375,ENSP00000319897,538
COPZ2,ENSG00000005243,protein_coding,1866,ENSP00000480707,210
PRKAR2B,ENSG00000005249,protein_coding,12581,ENSP00000265717,418
MSL3,ENSG00000005302,protein_coding,9780,ENSP00000312244,521
CREBBP,ENSG00000005339,protein_coding,15479,ENSP00000262367,2442
TSPOAP1,ENSG00000005379,protein_coding,11389,ENSP00000345824,1857
MPO,ENSG00000005381,protein_coding,4427,ENSP00000225275,745
PON1,ENSG00000005421,protein_coding,2657,ENSP00000222381,355
GCFC2,ENSG00000005436,protein_coding,5462,ENSP00000318690,781
WDR54,ENSG00000005448,protein_coding,2852,ENSP00000006526,334
CROT,ENSG00000005469,protein_coding,4995,ENSP00000413575,640
ABCB4,ENSG00000005471,protein_coding,7728,ENSP00000265723,1286
KMT2E,ENSG00000005483,protein_coding,13704,ENSP00000312379,1858
RHBDD2,ENSG00000005486,protein_coding,2390,ENSP00000006777,364
SOX8,ENSG00000005513,protein_coding,5536,ENSP00000518816,476
IBTK,ENSG00000005700,protein_coding,8719,ENSP00000305721,1353
ZNF195,ENSG00000005801,protein_coding,11711,ENSP00000477630,633
MYCBP2,ENSG00000005810,protein_coding,34127,ENSP00000508153,4772
FBXL3,ENSG00000005812,protein_coding,7076,ENSP00000347834,428
ITGAL,ENSG00000005844,protein_coding,9864,ENSP00000349252,1170
PDK2,ENSG00000005882,protein_coding,5471,ENSP00000420927,407
ITGA3,ENSG00000005884,protein_coding,9802,ENSP00000007722,1066
ZFX,ENSG00000005889,protein_coding,9037,ENSP00000368486,844
LAMP2,ENSG00000005893,protein_coding,10628,ENSP00000516464,454
ITGA2B,ENSG00000005961,protein_coding,5695,ENSP00000262407,1039
ASB4,ENSG00000005981,protein_coding,4606,ENSP00000321388,426
GDE1,ENSG00000006007,protein_coding,4390,ENSP00000261386,331
REX1BD,ENSG00000006015,protein_coding,3371,ENSP00000351422,201
CRLF1,ENSG00000006016,protein_coding,2967,ENSP00000506849,426
OSBPL7,ENSG00000006025,protein_coding,6541,ENSP00000007414,842
TMEM98,ENSG00000006042,protein_coding,5187,ENSP00000378138,226
YBX2,ENSG00000006047,protein_coding,4631,ENSP00000007699,364
KRT33A,ENSG00000006059,protein_coding,1303,ENSP00000007735,404
MAP3K14,ENSG00000006062,protein_coding,5668,ENSP00000478552,947
ABCC8,ENSG00000006071,protein_coding,27254,ENSP00000494321,1603
CACNG3,ENSG00000006116,protein_coding,1917,ENSP00000005284,315
TMEM132A,ENSG00000006118,protein_coding,7274,ENSP00000005286,1024
AP2B1,ENSG00000006125,protein_coding,7591,ENSP00000483185,951
TAC1,ENSG00000006128,protein_coding,1712,ENSP00000321106,129
ZNF263,ENSG00000006194,protein_coding,8450,ENSP00000219069,683
CX3CL1,ENSG00000006210,protein_coding,5960,ENSP00000456830,403
SPATA20,ENSG00000006282,protein_coding,5237,ENSP00000006658,802
CACNA1G,ENSG00000006283,protein_coding,10062,ENSP00000352011,2377
TNFRSF12A,ENSG00000006327,protein_coding,1801,ENSP00000460610,226
DLX6,ENSG00000006377,protein_coding,3445,ENSP00000428480,293
MAP3K9,ENSG00000006432,protein_coding,12386,ENSP00000451263,1118
RALA,ENSG00000006451,protein_coding,3579,ENSP00000005257,206
BAIAP2L1,ENSG00000006453,protein_coding,4821,ENSP00000005260,511
KDM7A,ENSG00000006459,protein_coding,9378,ENSP00000380692,941
ETV1,ENSG00000006468,protein_coding,9592,ENSP00000384085,491
AGK,ENSG00000006530,protein_coding,10697,ENSP00000498112,422
ALDH3B1,ENSG00000006534,protein_coding,6622,ENSP00000473990,468
TTC22,ENSG00000006555,protein_coding,6111,ENSP00000360323,569
PHTF2,ENSG00000006576,protein_coding,8665,ENSP00000248550,785
CCL26,ENSG00000006606,protein_coding,703,ENSP00000005180,94
FARP2,ENSG00000006607,protein_coding,14371,ENSP00000264042,1054
USH1C,ENSG00000006611,protein_coding,4904,ENSP00000005226,899
GGCT,ENSG00000006625,protein_coding,1594,ENSP00000275428,188
DBF4,ENSG00000006634,protein_coding,4595,ENSP00000265728,674
TBXA2R,ENSG00000006638,protein_coding,2827,ENSP00000393333,407
IFRD1,ENSG00000006652,protein_coding,7902,ENSP00000005558,451
LGALS14,ENSG00000006659,protein_coding,904,ENSP00000353893,168
COX10,ENSG00000006695,protein_coding,6756,ENSP00000261643,443
GTF2IRD1,ENSG00000006704,protein_coding,6499,ENSP00000397566,976
PAF1,ENSG00000006712,protein_coding,2850,ENSP00000221265,531
VPS41,ENSG00000006715,protein_coding,7752,ENSP00000309457,854
ARHGAP44,ENSG00000006740,protein_coding,9322,ENSP00000368994,818
ELAC2,ENSG00000006744,protein_coding,7002,ENSP00000337445,826
SCIN,ENSG00000006747,protein_coding,11626,ENSP00000297029,715
ARSD,ENSG00000006756,protein_coding,7026,ENSP00000370546,593
PNPLA4,ENSG00000006757,protein_coding,3411,ENSP00000370430,253
MYH13,ENSG00000006788,protein_coding,6120,ENSP00000252172,1938
ADIPOR2,ENSG00000006831,protein_coding,5831,ENSP00000349616,386
CDKL3,ENSG00000006837,protein_coding,3149,ENSP00000265334,592
UPP2,ENSG00000007001,protein_coding,3996,ENSP00000474090,374
PRSS21,ENSG00000007038,protein_coding,1967,ENSP00000005995,314
MARK4,ENSG00000007047,protein_coding,6656,ENSP00000262891,752
PROM1,ENSG00000007062,protein_coding,7457,ENSP00000415481,865
CCDC124,ENSG00000007080,protein_coding,1661,ENSP00000408730,223
CEACAM21,ENSG00000007129,protein_coding,1977,ENSP00000385739,293
PAFAH1B1,ENSG00000007168,protein_coding,14289,ENSP00000501976,428
NOS2,ENSG00000007171,protein_coding,6129,ENSP00000327251,1153
DNAH9,ENSG00000007174,protein_coding,16941,ENSP00000262442,4486
KIAA0100,ENSG00000007202,protein_coding,9232,ENSP00000436773,2235
SLC13A2,ENSG00000007216,protein_coding,3226,ENSP00000392411,641
GAS7,ENSG00000007237,protein_coding,10158,ENSP00000407552,476
TRAPPC6A,ENSG00000007255,protein_coding,933,ENSP00000006275,173
MATK,ENSG00000007264,protein_coding,4138,ENSP00000378485,508
CEACAM7,ENSG00000007306,protein_coding,2653,ENSP00000006724,265
CD79B,ENSG00000007312,protein_coding,2125,ENSP00000376544,230
SCN4A,ENSG00000007314,protein_coding,8243,ENSP00000396320,1836
ST7L,ENSG00000007341,protein_coding,8108,ENSP00000350734,575
TKTL1,ENSG00000007350,protein_coding,3570,ENSP00000358931,596
PAX6,ENSG00000007372,protein_coding,20639,ENSP00000491948,473
RPUSD1,ENSG00000007376,protein_coding,2769,ENSP00000007264,312
RHBDF1,ENSG00000007384,protein_coding,4914,ENSP00000262316,855
LUC7L,ENSG00000007392,protein_coding,6176,ENSP00000293872,371
CACNA2D2,ENSG00000007402,protein_coding,6508,ENSP00000407393,1153
BAIAP3,ENSG00000007516,protein_coding,6808,ENSP00000324510,1187
TSR3,ENSG00000007520,protein_coding,1210,ENSP00000007390,312
PIGQ,ENSG00000007541,protein_coding,7856,ENSP00000026218,760
CRAMP1,ENSG00000007545,protein_coding,8596,ENSP00000293925,1269
TEAD3,ENSG00000007866,protein_coding,3049,ENSP00000345772,435
SELE,ENSG00000007908,protein_coding,4586,ENSP00000331736,610
DNAJC11,ENSG00000007923,protein_coding,12182,ENSP00000366800,559
FMO3,ENSG00000007933,protein_coding,3439,ENSP00000356729,532
MYLIP,ENSG00000007944,protein_coding,6191,ENSP00000349298,445
NOX1,ENSG00000007952,protein_coding,2543,ENSP00000362057,564
E2F2,ENSG00000007968,protein_coding,5462,ENSP00000355249,437
PSMB1,ENSG00000008018,protein_coding,2219,ENSP00000262193,241
SYN1,ENSG00000008056,protein_coding,3733,ENSP00000295987,705
JARID2,ENSG00000008083,protein_coding,6244,ENSP00000341280,1246
CDKL5,ENSG00000008086,protein_coding,19056,ENSP00000369332,1030
CAMK1G,ENSG00000008118,protein_coding,3328,ENSP00000009105,476
CDK11A,ENSG00000008128,protein_coding,5085,ENSP00000367900,783
NADK,ENSG00000008130,protein_coding,5570,ENSP00000367890,591
TFAP2B,ENSG00000008196,protein_coding,6155,ENSP00000377265,460
TFAP2D,ENSG00000008197,protein_coding,2203,ENSP00000008391,452
DLEC1,ENSG00000008226,protein_coding,8338,ENSP00000315914,1778
CYTH3,ENSG00000008256,protein_coding,5802,ENSP00000297044,399
ADAM22,ENSG00000008277,protein_coding,13668,ENSP00000412085,964
SYPL1,ENSG00000008282,protein_coding,2909,ENSP00000516340,285
CYB561,ENSG00000008283,protein_coding,5296,ENSP00000442773,318
SPAG9,ENSG00000008294,protein_coding,11951,ENSP00000262013,1321
CELSR3,ENSG00000008300,protein_coding,13850,ENSP00000164024,3312
AASS,ENSG00000008311,protein_coding,10816,ENSP00000377040,926
PLEKHG6,ENSG00000008323,protein_coding,4316,ENSP00000011684,790
SS18L2,ENSG00000008324,protein_coding,3118,ENSP00000011691,77
MPND,ENSG00000008382,protein_coding,2049,ENSP00000471715,503
MGST1,ENSG00000008394,protein_coding,7441,ENSP00000010404,155
CRY1,ENSG00000008405,protein_coding,4782,ENSP00000008527,586
PGLYRP1,ENSG00000008438,protein_coding,708,ENSP00000008938,196
NFIX,ENSG00000008441,protein_coding,6486,ENSP00000502554,510
ST3GAL1,ENSG00000008513,protein_coding,8787,ENSP00000430515,340
MMP25,ENSG00000008516,protein_coding,4748,ENSP00000337816,562
IL32,ENSG00000008517,protein_coding,3209,ENSP00000380099,234
PKD1,ENSG00000008710,protein_coding,18534,ENSP00000262304,4303
MAPK8IP2,ENSG00000008735,protein_coding,5793,ENSP00000330572,824
MED24,ENSG00000008838,protein_coding,6962,ENSP00000377684,1014
RHOBTB2,ENSG00000008853,protein_coding,7408,ENSP00000427926,749
HEATR5B,ENSG00000008869,protein_coding,8238,ENSP00000233099,2071
SEC62,ENSG00000008952,protein_coding,7928,ENSP00000337688,399
RPS20,ENSG00000008988,protein_coding,6765,ENSP00000429374,142
CSDE1,ENSG00000009307,protein_coding,9830,ENSP00000481762,844
UBE3C,ENSG00000009335,protein_coding,9203,ENSP00000309198,1083
REV3L,ENSG00000009413,protein_coding,12420,ENSP00000351697,3130
TENM1,ENSG00000009694,protein_coding,13547,ENSP00000403954,2732
PAX7,ENSG00000009709,protein_coding,7555,ENSP00000364524,520
MASP2,ENSG00000009724,protein_coding,5113,ENSP00000383690,686
IYD,ENSG00000009765,protein_coding,10362,ENSP00000229447,293
FAM76A,ENSG00000009780,protein_coding,4046,ENSP00000010299,341
TRAF3IP3,ENSG00000009790,protein_coding,7750,ENSP00000355992,551
POMT2,ENSG00000009830,protein_coding,13203,ENSP00000507574,799
VTA1,ENSG00000009844,protein_coding,7258,ENSP00000356602,307
MLXIPL,ENSG00000009950,protein_coding,4815,ENSP00000320886,852
BAZ1B,ENSG00000009954,protein_coding,7060,ENSP00000342434,1483
RANBP9,ENSG00000010017,protein_coding,3618,ENSP00000011619,729
ETV7,ENSG00000010030,protein_coding,2374,ENSP00000341843,341
SPRTN,ENSG00000010072,protein_coding,5906,ENSP00000295050,489
METTL13,ENSG00000010165,protein_coding,3831,ENSP00000354920,699
DYRK4,ENSG00000010219,protein_coding,7050,ENSP00000439697,634
ZNF207,ENSG00000010244,protein_coding,15818,ENSP00000340029,497
UQCRC1,ENSG00000010256,protein_coding,7034,ENSP00000203407,480
STARD3NL,ENSG00000010270,protein_coding,4324,ENSP00000009041,234
CD9,ENSG00000010278,protein_coding,5829,ENSP00000440985,270
HHATL,ENSG00000010282,protein_coding,2888,ENSP00000310621,504
NCAPD2,ENSG00000010292,protein_coding,6470,ENSP00000325017,1401
IFFO1,ENSG00000010295,protein_coding,4945,ENSP00000482285,571
GIPR,ENSG00000010310,protein_coding,5069,ENSP00000467494,466
PHF7,ENSG00000010318,protein_coding,3364,ENSP00000333024,381
SEMA3G,ENSG00000010319,protein_coding,5047,ENSP00000231721,782
NISCH,ENSG00000010322,protein_coding,9062,ENSP00000339958,1504
STAB1,ENSG00000010327,protein_coding,10588,ENSP00000312946,2570
FUZ,ENSG00000010361,protein_coding,2953,ENSP00000313309,418
SLC6A13,ENSG00000010379,protein_coding,4243,ENSP00000339260,602
IDS,ENSG00000010404,protein_coding,9294,ENSP00000339801,550
PRSS3,ENSG00000010438,protein_coding,1425,ENSP00000340889,259
ZNF200,ENSG00000010539,protein_coding,7498,ENSP00000405786,395
CD4,ENSG00000010610,protein_coding,4557,ENSP00000011653,458
LRRC23,ENSG00000010626,protein_coding,3052,ENSP00000007969,343
BTK,ENSG00000010671,protein_coding,7817,ENSP00000483570,693
HFE,ENSG00000010704,protein_coding,6973,ENSP00000417404,348
SCMH1,ENSG00000010803,protein_coding,4602,ENSP00000511813,670
FYN,ENSG00000010810,protein_coding,7411,ENSP00000357656,537
HIVEP2,ENSG00000010818,protein_coding,11272,ENSP00000012134,2446
FMO1,ENSG00000010932,protein_coding,3602,ENSP00000356724,532
ELOA,ENSG00000011007,protein_coding,5348,ENSP00000484196,772
LYPLA2,ENSG00000011009,protein_coding,2056,ENSP00000363638,231
CLCN6,ENSG00000011021,protein_coding,8173,ENSP00000365679,953
MRC2,ENSG00000011028,protein_coding,6591,ENSP00000307513,1479
NME1-NME2,ENSG00000011052,protein_coding,1241,ENSP00000451932,292
SLC6A7,ENSG00000011083,protein_coding,4277,ENSP00000428200,666
TSPAN9,ENSG00000011105,protein_coding,6905,ENSP00000384488,271
BTBD7,ENSG00000011114,protein_coding,11333,ENSP00000335615,1132
APBA3,ENSG00000011132,protein_coding,5596,ENSP00000315136,575
MKS1,ENSG00000011143,protein_coding,11285,ENSP00000502984,561
ABHD5,ENSG00000011198,protein_coding,7539,ENSP00000495778,349
ANOS1,ENSG00000011201,protein_coding,7082,ENSP00000262648,680
AKAP8L,ENSG00000011243,protein_coding,8576,ENSP00000380557,646
MBTD1,ENSG00000011258,protein_coding,7184,ENSP00000403946,628
UTP18,ENSG00000011260,protein_coding,2703,ENSP00000225298,556
RNF216,ENSG00000011275,protein_coding,7576,ENSP00000374552,923
TTC19,ENSG00000011295,protein_coding,6054,ENSP00000261647,380
PTBP1,ENSG00000011304,protein_coding,7521,ENSP00000489604,588
DPF1,ENSG00000011332,protein_coding,4800,ENSP00000510785,435
SYT7,ENSG00000011347,protein_coding,7552,ENSP00000439694,686
LARS2,ENSG00000011376,protein_coding,12407,ENSP00000495707,903
PIK3C2A,ENSG00000011405,protein_coding,9207,ENSP00000265970,1686
PLAUR,ENSG00000011422,protein_coding,4457,ENSP00000339328,335
ANLN,ENSG00000011426,protein_coding,5997,ENSP00000265748,1124
WIZ,ENSG00000011451,protein_coding,10037,ENSP00000500993,1889
RABGAP1,ENSG00000011454,protein_coding,7656,ENSP00000362751,1069
DCN,ENSG00000011465,protein_coding,12941,ENSP00000052754,359
QPCTL,ENSG00000011478,protein_coding,2825,ENSP00000012049,382
PPP5C,ENSG00000011485,protein_coding,7089,ENSP00000012443,499
CEP68,ENSG00000011523,protein_coding,11832,ENSP00000367229,757
MAP4K3,ENSG00000011566,protein_coding,6056,ENSP00000263881,894
ZBTB32,ENSG00000011590,protein_coding,2739,ENSP00000262630,487
TYROBP,ENSG00000011600,protein_coding,907,ENSP00000468608,144
LDAF1,ENSG00000011638,protein_coding,2558,ENSP00000409879,185
GABRA3,ENSG00000011677,protein_coding,4150,ENSP00000359337,492
BRCA1,ENSG00000012048,protein_coding,14160,ENSP00000496570,1885
ERCC1,ENSG00000012061,protein_coding,5575,ENSP00000013807,323
CD22,ENSG00000012124,protein_coding,6165,ENSP00000085219,847
SEMA3B,ENSG00000012171,protein_coding,5768,ENSP00000480680,754
MBTPS2,ENSG00000012174,protein_coding,8945,ENSP00000368798,519
PRICKLE3,ENSG00000012211,protein_coding,3656,ENSP00000470248,615
LTF,ENSG00000012223,protein_coding,3989,ENSP00000231751,710
EXTL3,ENSG00000012232,protein_coding,16477,ENSP00000220562,919
NR1H4,ENSG00000012504,protein_coding,3628,ENSP00000447149,486
ELOVL5,ENSG00000012660,protein_coding,3813,ENSP00000359956,326
ALOX5,ENSG00000012779,protein_coding,3728,ENSP00000363512,674
KDM5D,ENSG00000012817,protein_coding,9463,ENSP00000444293,1570
CALCOCO1,ENSG00000012822,protein_coding,8898,ENSP00000449960,691
UBR7,ENSG00000012963,protein_coding,3509,ENSP00000013070,425
MAP4K5,ENSG00000012983,protein_coding,7580,ENSP00000013125,846
EHD3,ENSG00000013016,protein_coding,4825,ENSP00000327116,535
PSMC4,ENSG00000013275,protein_coding,2550,ENSP00000157812,418
MAN2B2,ENSG00000013288,protein_coding,8884,ENSP00000285599,1009
SLC7A14,ENSG00000013293,protein_coding,10496,ENSP00000231706,771
CLDN11,ENSG00000013297,protein_coding,4321,ENSP00000064724,207
SLC25A39,ENSG00000013306,protein_coding,3526,ENSP00000366299,359
MVP,ENSG00000013364,protein_coding,6141,ENSP00000349977,893
NUB1,ENSG00000013374,protein_coding,5338,ENSP00000418234,615
PGM3,ENSG00000013375,protein_coding,22007,ENSP00000425809,570
RWDD2A,ENSG00000013392,protein_coding,3769,ENSP00000358739,292
CLK1,ENSG00000013441,protein_coding,5117,ENSP00000394734,526
POLR3B,ENSG00000013503,protein_coding,4768,ENSP00000228347,1133
ANGEL1,ENSG00000013523,protein_coding,7798,ENSP00000251089,670
RNF14,ENSG00000013561,protein_coding,4988,ENSP00000324956,474
DNASE1L1,ENSG00000013563,protein_coding,4132,ENSP00000014935,302
DDX11,ENSG00000013573,protein_coding,8367,ENSP00000440402,970
HEBP1,ENSG00000013583,protein_coding,3428,ENSP00000496930,207
GPRC5A,ENSG00000013588,protein_coding,8440,ENSP00000014914,357
MAMLD1,ENSG00000013619,protein_coding,6664,ENSP00000507991,1023
CD6,ENSG00000013725,protein_coding,5958,ENSP00000323280,668
TACC3,ENSG00000013810,protein_coding,8825,ENSP00000326550,838
UFL1,ENSG00000014123,protein_coding,4539,ENSP00000358283,794
POLA2,ENSG00000014138,protein_coding,12006,ENSP00000265465,598
ZC3H3,ENSG00000014164,protein_coding,3721,ENSP00000262577,948
CAPN1,ENSG00000014216,protein_coding,7506,ENSP00000279247,714
ACP3,ENSG00000014257,protein_coding,4284,ENSP00000323036,418
MDH1,ENSG00000014641,protein_coding,4990,ENSP00000438144,353
SLC30A9,ENSG00000014824,protein_coding,7199,ENSP00000264451,568
MTMR11,ENSG00000014914,protein_coding,4572,ENSP00000391668,709
COX15,ENSG00000014919,protein_coding,5215,ENSP00000016171,410
CCDC88C,ENSG00000015133,protein_coding,12426,ENSP00000374507,2028
YAF2,ENSG00000015153,protein_coding,10839,ENSP00000328004,204
ZMYND11,ENSG00000015171,protein_coding,12925,ENSP00000381046,617
WAS,ENSG00000015285,protein_coding,3402,ENSP00000513850,590
DPEP1,ENSG00000015413,protein_coding,2737,ENSP00000261615,411
BID,ENSG00000015475,protein_coding,4420,ENSP00000318822,241
MATR3,ENSG00000015479,protein_coding,12064,ENSP00000378284,847
NPC1L1,ENSG00000015520,protein_coding,5267,ENSP00000289547,1359
XYLT2,ENSG00000015532,protein_coding,5472,ENSP00000017003,865
RGPD5,ENSG00000015568,protein_coding,14185,ENSP00000016946,1765
STMN4,ENSG00000015592,protein_coding,3309,ENSP00000430389,258
NUDCD3,ENSG00000015676,protein_coding,9893,ENSP00000347626,361
ISL1,ENSG00000016082,protein_coding,2817,ENSP00000230658,349
CHDH,ENSG00000016391,protein_coding,7787,ENSP00000319851,594
IL20RA,ENSG00000016402,protein_coding,4730,ENSP00000314976,553
CLCA1,ENSG00000016490,protein_coding,3310,ENSP00000234701,914
CLCA4,ENSG00000016602,protein_coding,3447,ENSP00000359594,919
GLT8D1,ENSG00000016864,protein_coding,3785,ENSP00000266014,371
ATP2C1,ENSG00000017260,protein_coding,8510,ENSP00000421326,973
IGF1,ENSG00000017427,protein_coding,8115,ENSP00000302665,195
SLC38A5,ENSG00000017483,protein_coding,4017,ENSP00000471683,472
RALBP1,ENSG00000017797,protein_coding,8041,ENSP00000019317,655
RUFY3,ENSG00000018189,protein_coding,9405,ENSP00000370394,620
CNTN1,ENSG00000018236,protein_coding,7649,ENSP00000325660,1018
SLC11A1,ENSG00000018280,protein_coding,8676,ENSP00000233202,550
WWTR1,ENSG00000018408,protein_coding,8353,ENSP00000353847,400
AGPS,ENSG00000018510,protein_coding,15223,ENSP00000494433,676
STEEP1,ENSG00000018610,protein_coding,2581,ENSP00000494123,222
ATP1A2,ENSG00000018625,protein_coding,6298,ENSP00000354490,1020
TTC27,ENSG00000018699,protein_coding,3443,ENSP00000313953,843
ZNF582,ENSG00000018869,protein_coding,3341,ENSP00000301310,517
VSIG2,ENSG00000019102,protein_coding,1447,ENSP00000318684,327
PHLDB1,ENSG00000019144,protein_coding,21691,ENSP00000354498,1377
MARCO,ENSG00000019169,protein_coding,2051,ENSP00000318916,520
CYP24A1,ENSG00000019186,protein_coding,3988,ENSP00000216862,514
PRDM11,ENSG00000019485,protein_coding,13976,ENSP00000480626,1177
SYT13,ENSG00000019505,protein_coding,5445,ENSP00000020926,426
SNAI2,ENSG00000019549,protein_coding,3281,ENSP00000020945,268
CD74,ENSG00000019582,protein_coding,4526,ENSP00000009530,296
HGF,ENSG00000019991,protein_coding,9753,ENSP00000222390,728
ZRANB1,ENSG00000019995,protein_coding,5993,ENSP00000352676,708
NCDN,ENSG00000020129,protein_coding,4917,ENSP00000348394,729
ADGRA2,ENSG00000020181,protein_coding,7084,ENSP00000406367,1338
ZFP64,ENSG00000020256,protein_coding,6790,ENSP00000216923,681
MNAT1,ENSG00000020426,protein_coding,3877,ENSP00000261245,309
